title,genres,Plot
Love Station,"Romance, Drama","As love, betrayal, and long-buried secrets intertwine, Rani embarks on an emotional journey to uncover her true identity, ultimately reuniting with the family she lost as a child."
Guleli,"Comedy, Action","When a rebellious, angst-filled, everyday Nepali youth Bicky stumbles upon a superhero costume, he sets out to fight against evil and mysterious Karkat's gang in a crime-ridden, corrupted Kathmandu City.  This is the story of Nepal's very own local Superhero, Guleli."
Classic,"Romance, Music","Two visually impaired musicians navigate a tumultuous romance, where their bond is tested by professional success and personal insecurities."
Missing: Keti Harayeko Suchana,"Action, Comedy, Romance, Drama","A gripping tale of two young people from contrasting worlds who are thrust together by a twist of fate. A man from Nepal's Terai plains accidentally abducts a woman from the northern hills, bringing her to his rural village in Janakpur. What begins as a clash of personalities slowly transforms into a journey of shared understanding, bridging deep-seated social and cultural divides."
Eklo-I,"Science Fiction, Action, Horror","In the aftermath of a mysterious virus outbreak in 2030, humanity fled Earth. By 2090, the sole surviving human lives in the mountains of Nepal. When two astronauts, having settled in space, return to Earth, they inadvertently encounter this last human survivor. As they delve into the mountain mysteries, they uncover the chilling enigma of the zombies that now roam the land."
Behuli from Meghauli,"Comedy, Drama","Behuli from Meghauli is a Nepali social drama about a father's struggle to find a perfect groom for his daughter, while she searches for true love. The film highlights family expectations with humor and emotion."
Feri Resham Filili,,"When Resham wins the US DV lottery, village tensions rise. Stranded before reaching America, he reunites with unreliable friend Hariya. Both chase dreams amid lies, jealousy and survival challenges."
Red Monsoon,Drama,"It is hard for Karuna to believe that her husband Krishna is seeking gratification in someone else's arms, and when her friend Anushka suggests as much, she resists. Chetana, battling her own feelings of loss, reaches out for Krishna's extended hand. Against the clamorous backdrop of the age-old Machhendranath festival, a thoroughly contemporary drama plays out in the bylanes and courtyards of Patan town. Through the characters, we glimpse a society in transition, where individuals are left to fend for themselves in the anonymity of the city. The film is steeped with the angst of uncertainty created by an economy in the doldrums, with the anger of youth, and with the befuddlement of elders, as protagonists try to adjust to new realities, some with a care for ethics and some without. This is where Krishna finds himself at the end, as Chetana and Karuna decide for themselves. The air is pregnant with possibilities, but the rains do not arrive in Red Monsoon."
Laaj Sharanam,"Comedy, Drama",A rural community becomes embroiled in a gold smuggling scheme.
Lappan Chhappan,,The character named Banka sets out to take revenge on the minister who betrayed him.
Basudev,"Drama, Family",A teacher named Basudev Kattel who is suffering from poverty seeks to his friend named Kumar than he realized Kathmandu is filled of corruption.
Upahaar,Drama,"A young entrepreneur's journey of ambition, resilience, and triumphs. The movie is a rollercoaster of emotions, with moments of laughter and tears."
Highway,Drama,"Five different relationship stories become connected during an ill-fated bus journey from eastern Nepal to the capital, Kathmandu."
Chhadke,"Thriller, Drama, Action","The film tells the story of three childhood friends. The trio all had dreams to fulfill 'when they grew up', but time and destiny seem to have other plans for them. A difficult life is forced upon them when the elder brother of one of these three men is hit by the vehicle of a shady character called Chewang  and left completely paralyzed. The three friends then find themselves in the way of a criminal gang called 'Royal', of which Chewang is the leader."
Prasad 2,Drama,"A film about society, politics and relationships that starts with a couple who had an inter-caste love relationship and have returned to the village to face society with their 9-year-old son, Prasad. As the country now has entered the Republic system, the constitution was written in favour of the people & caste untouchability was made a crime by the law. The story revolves around the future conflict of Baburam, Narayani, who returned to the village, the struggle for that and an ups and downs journey. For them, what is greater than love?"
Mohar,Drama,"The story revolves around a schoolgirl who faces the hardships of poverty, discrimination, and the painful realities of early marriage. Her family, burdened by financial stress, sees little choice but to marry her off while she's still a child."
Mr. Jholay,Drama,"Three middle aged childhood friends Purne, Karne and Guna Prasad are still bachelor and want to get married and settled. Purne’s mother want to marry his son with a daughter of a rich villager. The father of the born unlucky girl has announced 1.5 Million rupees for her groom. Karne from the untouchable cast is in one sided love with the same born unlucky girl. Guna Prasad, a public school teacher is unable to express his deep inner love to Karne’s sister. The dreams and desires of each friend bring conflict between them and the drama gone extreme when a hunter tourist make an entry in the village. Their childhood friendship is now on the edge of the sword."
Balidan,"Action, Drama","In the remote corner of the country lies Bhilmaghat, a village that looks like paradise from the outside. Beneath its beauty hides a kingdom of exploitation and fear ruled by a hypocritical priest “Baba,” who preys on innocents in the name of faith. A boy named Abhay survives a horrific ritual sacrifice with the help of Bhavani, who plants the seed of revolt—only to lose her husband in a direct clash with Baba. Years later, Abhay struggles to save his ailing mother but is ensnared in a sinister plot to bomb a massive temple inauguration and divide the nation. Now, he must save his mother, protect thousands of innocents, and end the tyranny. If he fails, the sacrifice will be his own. If he succeeds, his balidan will be remembered for generations."
Reemai,"Drama, Romance","Reemai is the story of a young woman who refuses a childhood marriage arranged under traditional Gurung customs, and must face the consequences of her decision. The film beautifully captures the essence of Gurung culture, exploring themes of love, tradition, and personal freedom"
Himalayan Gold,Drama,A young village girl's journey to collect the rare Himalayan herb Yarsagumba turns into a desperate fight for survival when she encounters a ruthless gang of robbers in the mountains.
Chapali Height 3,"Crime, Thriller","A police investigator untangles a complex web of deceit, hidden agendas, and political motives to uncover the truth behind the murder of a prominent businessman."
Kalli,Drama,Plot to be announced.
Ganapati,"Comedy, Drama, Music","The people of a village think a newborn baby is an incarnation of Ganesh until he is diagnosed as having a birth defect, which impacts the life of the baby as he grows into a man."
Sindoor,Drama,"A young woman navigates the complexities of love, arranged marriage, and family expectations while fiercely asserting her dignity, self-determination, and women's empowerment against societal pressures."
I am Jit Bahadur,Drama,"Jit Bahadur’s journey from a struggling dreamer to a celebrated actor reveals the harsh price of fame, as his relentless ambition gradually distances him from the very family that once supported him."
Bhariya,"Action, Drama","Two orphaned children run away to the city to build a better life, setting off a gripping chain of events that unfolds into a tale of survival, struggle, and justice."
Babari,Romance,A girl hires a local boy to accompany her to meet her boyfriend but things take a turn.
Lalteen,Action,Lalteen is a movie that illustrates the criminal activities of gangs and their way of life in the city. Guns and violence are daily rituals of gang members and innocent people are victimized. Lalteen visualizes the hardship when involved with criminals and the result is mostly terrible.
Chakkar,"Thriller, Crime","A seemingly uneducated and unemployed individual is offered to kill a stranger's wife, as brutally as possible."
Hattichhap,"Drama, Action","""Hattichhap"" is a 2024 Nepali social comedy-drama that delves into themes of political betrayal, community accountability, and the pursuit of quality education in a rural setting."
A Mero Hajur 3,"Romance, Drama","A famous celebrity disguises himself to experience a normal life, falls in love with his biggest fan."
Kathaputali : The Puppet,Horror,"Trapped in an abandoned royal palace, a young prince must confront the unsettling secrets of his family’s past, escape evil forces and battle dark magic in order to survive."
Chiso Ashtray,"Drama, Crime","A taxi driver moves to Kathmandu with aspirations of making it in the big city. He falls in with the wrong company, and soon becomes embroiled in drugs and disputes with a local rival gang."
Halkara,"Drama, Adventure","An unemployed village drunk accepts a postman position and ventures into the remote villages of Nepal. In his journey, he must face the challenges and responsibilities of his new job while confronting the personal demons of his past."
Hostel Returns,"Comedy, Drama, Romance","A group of civil engineering students navigates the highs and lows of hostel life, where deep friendships and personal ambitions are tested when two best friends fall for the same girl, leading to a tale of romance, betrayal, and academic struggle."
Aishwarya,"Romance, Drama","Sameer and Raghav are two rival businessman based in Kathmandu who can go any length to one up each other. But when Deepika, an aspiring fashion model, enters the picture, Sameer and Raghav's rivalry takes a bitter turn and their professional hatred becomes a personal vendetta."
America Boys,"Drama, Comedy","Three losers, destiny is twisted when they come across a suitcase."
Lalpurja,"Comedy, Drama","Following the death of their father, two estranged stepbrothers become embroiled in a fierce and often comical battle over a valuable ancestral property, setting off a chain of chaotic events driven by greed, rivalry, and family conflict."
Aafno Manchhe,Drama,A heartwarming tale of sacrifice and familial love unfolds as two devoted brothers navigate complex family disputes and social hurdles to protect their bonds and loved ones.
"Pooja, Sir","Crime, Thriller","When two boys are kidnapped in a border town in Nepal, Detective Inspector Pooja is sent from Kathmandu to solve the case. But when she arrives, the brewing political unrest and violent protests throw her off course, and she is forced to seek help from Mamata, a local Madhesi policewoman. By putting aside systemic discrimination and pushing through everyday misogyny, the women solve the case - but at what personal cost?"
Maun: a loud silence,,Aman and Barsha— both deaf and mute— navigate their budding love in Kathmandu while Aman battles a dark past and seeks revenge on the man who caused his trauma
Teen Spirit,"Romance, Drama, Comedy","Teen Spirit chronicles teenager's volatile emotions, complex relationships, and personal growth as they navigate the final days of high school through the eyes of Charu. The series delves into the complexities of teenage life, emphasizing personal growth, resilience, and the importance of friendship."
Chauka Dau,Comedy,"A woman deceives four friends, setting off a chain of events that forces them to go on the run while trying to escape the consequences of their actions."
3 Lovers,"Romance, Thriller",A love story about 3 guys who have different perception of love.
Badhshala,"Thriller, Drama, History, Horror",Badhshala is a story of torture inside an army barrack during maoist insurgency.
Pitambar,"Action, Drama","Pitambar is a story of a fearless and tactful warrior who has fought many hardships. Being a rejected child at an early age, he got the chance to be intimate with the roller coaster of life, making him like a rock. He wants to destroy the empire of perpetrators in Parasi to regain his mom's prestigious image but discovers the shocking truths one after the other in his way. The circumstances are against him but his mother is always there to embrace, to lead, and to support him."
Dhanapati,"Drama, Romance",Dhanapati wants to earn more money to get his daughter to a good school.
Tandav,Crime,"When an arms deal on the Nepal India border goes south, a group of traveler's in a border hotel must band together to survive the resulting siege."
Ek Bhagavad Ra Ek Geeta,Drama,"Ek Bhagavad Ra Ek Gita highlights the struggles and hypocrisy faced by transgender people in Nepalese society, where they are sought for blessings yet denied dignity and respect."
Dewar Babu,Drama,"Three close friends— two thieves and a woman flee to Pokhara, where one of them takes on a fake identity to infiltrate a family that has recently lost a loved one."
Shankar,Drama,Shankar's fight against corrupted local forces and gangsters to protect his loved ones.
Lakshya,Action,"An action movie, 'Lakshya' is a presentation of Om Kiran Films. Boxing, dancing and fighting the mafia."
Chhakka Panja 4,Comedy,"Nirvaya Singh is currently the head of one of Nepal's most influential political parties, while his son Dik Vijay is deeply involved in criminal operations. When a political election is going to take place, Nirvaya becomes paralyzed, and Dik Vijay assumes control as president."
Kichkandi,Horror,"An American athlete visits Nepal for human rights work, but the secret he's been hiding from comes back to haunt him."
Ritu,"Drama, Romance","A story of youths and their struggle against the time, seasons, hearts and feelings that are trying their best to not remain the same."
Premganj,Romance,"The story follows a doctor, Raja, who reunites with his lost girlfriend, Maina, after 15 years, portraying the love, struggles, and emotional journey of the two lovers, MainaRaja."
Gopi,Drama,An excellent portrayal of a struggle of a common man to do something in our discouraging system and society. Fantastic acting from the cast and well written dialogues
Sanrakshan,"Romance, Drama, Action, Thriller",The story of the politics of Nepal; how they use their power to control the whole nation.
Lakhey,Crime,Sameer Maharjan is a bank manager. He regards Lakhey as Lord Indra and the protector of the community. His professional and family life is ruined as he gets trapped in the bank fraud case. Then he devises an increasingly perilous series of revenge tactics.
Swarga,"Drama, Family",A story about daughter-in-law and mother-in-law and their atrocities.
The Black Hen,"Action, Drama, History","We are in the year 2001, a temporary ceasefire brings a much-needed break to a small war-torn village in Northern Nepal, bringing much joy among the residents. Prakash and Kiran, two young close friends, are also starting to feel the change in the air. Though they are divided by caste and social creed, they remain inseparable, and start raising a hen given to Prakash by his sister, with hopes to save money by selling her eggs. However, the hen goes missing. To find it, they embark on a journey, innocently unaware of the tyranny brought by the fragile ceasefire."
Bijuli Machine,"Fantasy, Drama, Science Fiction, Action",A story of two responsible minds and their quest for an alternative source of energy in a country plunged into darkness and turmoil.
Gothalo,"Drama, Romance","The classical Nepali movie directed by one of the prominent director, Ujwal Ghimire."
Gajalu,"Romance, Drama","A former Kumari after her retirement, breaks free from traditional dogmas and figures out her way to an independent life with the help of a group of close friends."
Soongava: Dance of the Orchids,"Drama, Romance","Diya, young woman who wishes to become a dancer enters into an arranged marriage. As she spirals closer to her wedding day she realizes that she has no feelings for her betrothed but  is in love with her best friend, Kiran."
Pahaad,Drama,"The story about resilience of people living in the mountains of Nepal, navigating survival and hardship."
Jhari Pachhi Ko Indreni,"Drama, Family","A family drama depicting true struggle of an individual who rises against political corruption, fighting to protect his conscience while confronting a system built on injustice."
The Secrets of Radha,Drama,"Radha, a young pregnant woman from a village in Nepal, embarks on a journey to find her husband, a migrant worker in Doha, who's gone missing, but  instead discovers an intriguing web of lies, deceit and fraud behind his disappearance and of many others."
Bato Muniko Phool 2,"Drama, Romance","After the success of Bato Muniko Phool , the sequel Bato Muniko Phool 2 is out which will mainly focus on the love story and caste discrimination that exist in Nepalese society."
Loot,"Action, Crime","Loot is the story for five guys who find quick ways of success and accomplishment in life. It is a quest for quick money and better life. In a place where the crime rates are ascending day by day, Loot draws a reality check on the present security system of the city.  Loot is about relationships: it's about friendship and betrayal. Loot is the real picture of Kathmandu; the city of crime and lawlessness like never explored before."
Ghamad Shere,Drama,"A social comedy about a stubborn returnee migrant worker who, after his newly purchased farmland is ruined by a flood, gets entangled in absurd legal battles— even deciding to sue the river itself."
Gauthali,Drama,"Gauthali, a child bride overcomes abuse, loss, and discrimination through the power of education. Her determination to reclaim her future challenges deep-rooted traditions and inspires to stand against gender inequality."
Gurkha Warrior,"History, Drama, War",Gurkha troops battle Communist insurgents during the Malayan Emergency.
Pheri Bhetaula,Romance,A Nepali romantic film.
Rajamati,Drama,A luckless Newar girl named Rajamati from Kathmandu gets involved in a series of failed relationships. Based on a 200-year-old ballad popular in Newar society.
Bihe Pass,Drama,"When a shady married man is caught in the illegal act by his wife's father, a government official, he must pass the Public Service Commission exam or risk losing his wife."
Kismat,,"A young man becomes a police officer to fight corruption and systemic injustice after a tragic, life-altering event involving his family."
Tel Visa,Drama,"A Nepalese family navigate cultural differences in the US, and the complications social media can cause. Despite their struggles and fears, the family support each other. The question of what 'normal' is subjective to the culture."
Saayad,"Crime, Drama, Action","Saayad is the story of two generations living together, but experiencing the world in very different ways."
Aa Bata Aama,"Family, Drama","Aa Bata Aama is a heartfelt story set in a serene Nepali village, following a loving couple who are blessed with a son, Krishna, after years of hope and prayer. They raise him with deep care and big dreams, eventually making great sacrifices to send him abroad for better opportunities. As Krishna adapts to a new life, he becomes increasingly distant from his roots and family. Back home, his parents continue to cherish his memories and wait for his return. The film gently explores themes of love, sacrifice, ambition, and the emotional distance that can grow between family and dreams."
Maanish,Drama,A compassionate police inspector releases four prisoners to teach them how to become civilized and functioning members of society.
Bulbul,Drama,A young mother waiting for her husband to be back for years falls in love with a guy while she looks after her paralyzed father-in-law.
Thooli,Drama,"Thooli is a 2014 Nepali drama film directed by Everest Surya Bohara. It highlights rural Nepali life and focuses on social themes, revolving around issues of exploitation and rigid societal norms."
Rangeli,"Crime, Thriller","A gritty gangster drama that explores themes of power, loyalty, and betrayal in the Rangeli region of the Terai plains."
Kamala Miss,Drama,"The story inspired from the classic drama by Bijaya Malla's 'Kohi Kina Barbad Hos' exploring the themes of child custody, the effect of love, maternity effects, and guardian’s obligation."
Sano Sansar,"Comedy, Romance","A young man helps a drunk woman get home safely, then learns that she is the same friend with whom he's been chatting online."
Farki Farki,"Romance, Comedy, Science Fiction","Based on a time 'infinite time loop' theory, a light hearted romantic comedy that showcases various aspects of our lives."
Saayad 2,"Romance, Thriller",Saayad 2 is the fourth project of Durgish Films and is a sequel to the 2012 blockbuster film Saayad.
Rajja Rani,"Romance, Drama","Rajja Rani is a story inspired by the true incidents in Terai region of Nepal, where Raja struggles for his love Rani and the obstacles in their love due to the social and cultural values."
Pashupati Prasad 2: Bhasme Don,Comedy,"After the tragic death of Pashupati Prasad, Bhasme sets out in search of his own identity. He must complete his journey while also protecting his empire."
Antaral,Drama,"‘ANTARAL’ A  Nepali movie, shows that, with the flow of time (‘‘अन्तराल’’ Antaral) how much and which way the objectives of four young boys go to meet their aim. This is the life, whoever doesn’t lose their esteem can do everything. The movie clearly reveals the various destinations of life, with and without any vision."
Dasdhunga,"Drama, History","Based on true events of the mysterious death of CPN-UML leader Madan Bhandari in Dashdhunga, Nepal."
Rani,Drama,"Two characters with a strong bond for each other shared everything in their life until they both fall in love with Rani, where selfishness and jealousy begins between the two."
Captain,"Science Fiction, Drama","A son strives to fulfill his father’s unfulfilled dream, but the journey turns out to be far different from what he expected."
Sano Mann,Romance,"Saniya, an introverted woman leaves for Kathmandu, where she meets Nirvaan— a terminally ill but happy-go-lucky man who changes her outlook on life."
Mr. Virgin,Comedy,Mr.Virgin is know as NEPAL's first SEX COMEDY film Directed by BISHARAD BASNET in 2018.  STORY  ONE LINE : 3 boys plans to break their virginity one night and goes to THAMEL in Kathmandu and what happens to them one after another. Will these boys will break their virginity.
Silsila,"Thriller, Drama, Action, Romance",When a journalist nearly get killed from his enemy; his mother and other people do everything to revive him up.
Jhingedaau,"Comedy, Drama, Romance","The film portrays two sisters-in-law whose friendly rivalry during the traditional dice game ""Jhinge Dau"" leads to family discord, highlighting the unforeseen consequences of seemingly harmless actions."
Swor,Drama,A musical family drama about a singer.
Kaji,"Drama, Romance","A story told with heartfelt honesty seen through the eyes of Kajini, about her Kaji. It is a story of stifled emotions finally finding their flow, and a life that someone, somewhere, deeply yearned to live."
Viral Gorkhey,"Comedy, Drama","Delves into the complexities of fame, culture, and connection, weaving a compelling tale set against Nepal's breathtaking landscapes."
Selfie King,Drama,"It tells the story of a famous TV comedian, popularly known as Selfie King, a character he portrays in the comedy TV series of same name."
Ram Balaram,Drama,A story depicting the conflict of of two brothers— Ram and Balaram.
Bir Bikram,"Thriller, Drama, Action, Romance",Bir decides to save his crush June for his friend since he had promised to save her.
Tandavam,Action,"Tandavam is about a kind and happy couple who are excited to welcome their first baby. But things suddenly take a dark and strange turn, leading to unexpected events that end in a violent tragedy."
Mahabhoj,,"Mahabhoj is a social drama set in the backdrop of Nepal’s political system. It tells the story of everyday people who stand up against those who exploit them for selfish interests. The film highlights themes like rebellion, justice, and the struggle against political corruption and social inequality.  At its core, the story follows a bank loan manager in urgent need of money. When he turns to his father for help, he learns that his father’s lifelong savings have been stolen by a corrupt cooperative and a group of greedy individuals. This discovery sets off a powerful journey of resistance and truth."
Mahajatra,"Family, Comedy, Crime, Drama","Mahajatra unfolds the gripping tale of three men, bound by a tumultuous past, entrusted with the clandestine duty of concealing illicit funds. The film delves into the challenges, triumphs, and setbacks faced by these individuals as they navigate the complexities of safeguarding their entrusted task."
Mitjyu,Drama,A story about two guy bonded with the relationship 'Mitjyu' yet navigating through the complexities with each other.
Ma Yesto Geet Gauchu,Romance,"An unexpected event brings them together, but the truth about his past threatens to destroy the life they have built together."
Dorii,Thriller,"Dorii tells the gripping story of a troubled young man abandoned by his father and burdened with debt. In his desperate search for wealth, greed takes over, leading him into the risky world of rope smuggling. His choices soon drag him into danger, with consequences that could change his life forever."
Chhakka Panja,"Family, Comedy, Drama","Raja is rich but illiterate and enjoys life, and tells his friends to not get married or hold any job. However, he secretly has affairs with married women. Then one day Raja gets married to Champa, and the story enters a serious mode."
Chapali Height 2,"Crime, Thriller","A privileged and carefree Kathmandu youth whose romantic trysts take a dark turn when he is haunted by the ghost of a missing person, unraveling a twisted, cliché tale of revenge, love, and betrayal."
Lalibazar,Drama,"An enigmatic woman navigates the Lalibazar, clutching a child she intends to offer as a tribute to the powerful Kaji. This dark social thriller explores a world of high-stakes exploitation where innocence is the only currency strong enough to buy the favor of the elite."
Dui Nambari,"Comedy, Action, Romance, Drama","As two friends get into hunting for a living in a small village in rural Nepal, their lives take a turn when a Nepali-speaking Bhutanese woman arrives there."
Love Sasha,Romance,A girl (Keki Adhikari) starts to develop a afair with a young man (Karma Shayka) while waiting to get engaged with her long time boyfriend.
Colors of Evening,Drama,An 11-year-old city boy sets out to buy alcohol for his father at the command of his mother.
Teen Ghumti,"History, Drama","Indira, a girl from the ethnic group of Newars, falls in love with Pritambar, who is a Brahmin. She marries him, defying her parents."
Jhyanakuti,"Romance, Drama",A hilarious ride of a married couple and their adorable eight months old baby boy.
Kagaz Patra,"Comedy, Drama, Romance",
Dying Candle,"Romance, Drama, Action","A sister fights all odds to take care of her young brother, until things fall apart, and she is left with no option, but sell her dignity to save him."
A Mero Hajur 4,,It follows a vibrant couple as they meet and fall in love. Some unexpected things happen that make everything take a turn. Will everything be sorted out between them?
Fanko,Drama,A driver named Bhakti Thapa is assigned a job to transport one crore rupees from Pokhara to Kathmandu. But people having this secret information are behind him to rob him.
Maijharo,"Romance, Drama",A man’s desperate fight to save his father’s graveyard from a powerful businessman is complicated by the return of his former lover.
Ke Ghar Ke Dera,Comedy,"Ke Ghar Ke Dera  is a comedy-drama film directed by Dipendra K. Khanal and written by Singhe Lama and Mahesh Dawadi. The film is produced by Sharad Shrestha, Rajeeb Shrestha, Kiran Maharjan under the banner of A Plus Entertainment."
Basanti,"History, Drama, Romance","Basanti is a historical love story based on the novel by Diamond Shamsher. It depicts the story of a girl along with the accounts of the historical events during the time of Junga Bahadur Rana, the first Rana Prime Minister of Nepal."
Bato Muniko Phool,Romance,A poignant love story hindered by deep-rooted caste discrimination and the practice of untouchability.
Roll No. 1,"Drama, Family",A story of a boy struggling to fulfill his father's dream of winning a scholarship from the government.
Sunkesari,"Drama, Horror",It was supposed to be an escape from reality. Little didn't they know the dark secrets haunting this place. A place for solace? Or a fight for survival?
Paral Ko Aago,Drama,"A story based on the same name by Nepali writer, Guru Prasad Mainali, tells about a couple Chame, and Gauthali."
Jhumkee,,A suspenseful story about violence towards women in Nepal.
Seto Bagh,"Drama, History",The movie 'Seto Bagh' is set during the last days of Jung Bahadur Rana following his death and then the start of conspiracies within the Rana family with the motive of accessing the power to rule.
Taandro,History,"This story explores the inner world of a rebel who belongs to an ultra-leftist underground outfit that is battling the government forces. Seriously injured during an ambush, he hides out in a village, his fate dependent on the mercy of the villagers. They believe he is to blame for the death of the innocent native girl killed during the ambush. Left alone with his disturbing thoughts, he will have to dependent on the kindness of strangers, loyalty of his comrades and sheer will power to survive."
Pension Patta,Drama,"A heartfelt story of identity, family, redemption, and the transformative power of humanity, where a simple pension document becomes the beginning of an extraordinary journey of self-discovery."
Jhola: 'Sati' an inhumane tradition,Drama,"After her husband's death, a girl is forced to die due to the Sati practice in Nepal."
Mero Euta Saathi Chha,Romance,"Jay, who is the heir to the property, is raised by his grandparents after the death of his parents. Being the rich guy he abuses his wealth. One day he skips class and while riding on his bike, he gets challenged from another bike rider in black helmet. He gets ahead of him and blocks his way. He acknowledges that the black helmet person was chased by Nepal Police for crime of robbery."
Mahapurush,"Drama, Family, Comedy",A widowed father of two sons finds love at an old age and struggles as his sons and the society disapprove of his relation.
Dreams,,"A wealthy, arrogant hotel heir falls for a spirited young woman, but must navigate a dark, recurring premonition to protect their budding romance."
Fulbari,"Drama, Family","In a small village of Ilam, Jaya Narayan Sharma and Laxmi Sharma are living their retired life. Meanwhile, their children who are living in the city are more focused on their own life and career. Living own life arise a problem in the family members which creates distancing when they are in need of each other."
Blood Money,,"Based on a real story, the film depicts the agonizing experience of a migrant worker overseas and the harsh realities his family faces back in Nepal. It heavily criticizes societal prejudices against the wives of migrant workers and exposes the dark side of politics surrounding foreign employment."
Karsang,Drama,A financially struggling village shaman finds himself torn between his obligations and his son's concerns for an animal.
Radhe,Action,Story about a solider.
Ramkahani,"Romance, Horror, Comedy",A man falls in love with a ghost spirit of his girlfriend.
Guru Aama,"Drama, Family","Guru Aama, a compassionate and dedicated teacher, fate and career are in trouble when one of her student, Muna falls into drug addiction."
Chha Maya Chhapakkai,"Comedy, Drama, Romance, Family",The romance between two lovers from opposing political backgrounds whose relationship sparks a massive political revolution and bridges divides within their village.
Basanta,Drama,"A young aspiring writer from a remote village deals with prejudice, forbidden love and societal change."
The Red Suitcase,"Drama, Horror, Mystery","A pick-up truck driver leaves Kathmandu airport for a two-day drive with a delivery to a remote mountain village. On the high road, a solitary figure slowly makes his way, wheeling a small red suitcase toward the same village."
Masaan,Drama,"Based on a play by Gopal Prasad Rimal, It portrays social conflicts and women's demand for social justice during the Rana regime."
Elephants in the Fog,Thriller,"In a small Nepalese village nestled in the heart of a forest populated by wild elephants, Pirati is the matriarch of a Kinnar community. She dreams of escaping to a “normal” life with the man she is in love with. But when one of her daughters disappears, she must investigate and choose between love and responsibility to her community."
AKTOR: Take One,Thriller,"A middle-class boy, Kushal, dreams of becoming an actor and faces numerous challenges and transformative experiences as he strives to prove himself in the film industry."
Paaniphoto,Drama,"An old couple refuses to perform the last rites of their only son at the last minute and is determined to look for him, after their son’s best friend, who disappeared along with him, returns home after 15 years."
Jaari 2: Song of Chyabrung,"Drama, Music","Continuing the story of the first film, Jaari 2 follows the journey of Namsang and his wife Hangma as they embark on a new chapter of their married life. The film's narrative is deeply rooted in the culture of the Limbu community and revolves around the Chyabrung, a traditional drum that symbolizes love, identity and resilience. The film explores how Namsang navigates personal struggles and the complexities of his community's traditions with the guidance of the drum's rhythms."
